genome_id,location,vent_field,vent,sample_number,bin_number,bin_id,genus,length,num_contigs,N50,GC_content,completion,redundancy,number_genes,abundance,relative_abundance,mean_coverage,std_coverage,normalized_coverage,number_SNVs,norm_SNV
Sulfurovum_01,Axial,Dependable,,FS900,Bin_15,FS900-Bin_15,Sulfurovum,1427644,182,9601,31.18384911,71.94244604,1.438848921,1444,0.777481505,0.100106461,10.62002592,4.111846005,7.44E-06,204,0.000142893
Sulfurovum_02,Axial,El Guapo,,FS896,Bin_8,FS896-Bin_8,Sulfurovum,2206642,249,12292,50.57381944,88.48920863,2.877697842,2470,0.559278404,0.914205929,12.28316912,4.529763848,5.57E-06,10859,0.004921052
Sulfurovum_03,Axial,El Guapo,,FS896,Bin_9,FS896-Bin_9,Sulfurovum,1790541,339,5975,46.89530974,86.33093525,6.474820144,2001,0.550292852,0.129224126,12.08582366,4.400009703,6.75E-06,18662,0.010422548
Sulfurovum_04,Axial,El Guapo,,FS896,Bin_4,FS896-Bin_4,Sulfurovum,1334830,245,5917,30.7603727,76.25899281,2.158273381,1431,0.464080265,0.017414283,10.19237707,3.80679187,7.64E-06,4242,0.003177933
Sulfurovum_05,Axial,Marker 33,,FS908,Bin_1,FS908-Bin_1,Sulfurovum,875077,177,5067,35.67433072,70.50359712,0.71942446,980,0.459545435,0.028727305,9.810128772,3.86149491,1.12E-05,2273,0.002597486
Sulfurovum_06,Axial,Marker 33,,FS917,Bin_6,FS917-Bin_6,Sulfurovum,1140286,237,4885,29.79571194,84.17266187,4.316546763,1269,0.772000058,0.243702804,10.07038255,0.772000058,8.83E-06,4448,0.003900776
Sulfurovum_07,Axial,Marker 113,,FS906,Bin_8,FS906-Bin_8,Sulfurovum,2048994,405,5498,35.75718669,71.22302158,2.158273381,2152,0.211191489,0.205371298,10.89981402,4.115222719,5.32E-06,8653,0.004223048
Sulfurovum_08,Axial,Marker 113,,FS906,Bin_6,FS906-Bin_6,Sulfurovum,2084665,168,17046,37.94331438,84.17266187,2.158273381,2169,12.42055647,0.825791669,641.0379341,76.62129545,0.000307502,1875,0.000899425
Sulfurovum_09,Axial,Marker 113,,FS906,Bin_12,FS906-Bin_12,Sulfurovum,1042616,119,10427,35.17469711,91.36690647,0.71942446,1133,0.433024265,0.043128262,22.34883606,6.551165943,2.14E-05,6381,0.006120182
Sulfurovum_10,Axial,Marker 33,,FS904,Bin_4,FS904-Bin_4,Sulfurovum,1747597,168,14127,30.41608772,94.24460432,3.597122302,1777,0.804615179,0.148439062,12.90460725,4.373609274,7.38E-06,7562,0.004327085
