location	vent_field	vent	sample_number	bin_number	bin_id	genus	length	num_contigs	N50	GC_content	completion	redundancy	genome_id	number_genes
Axial	Dependable		FS900	Bin_15	FS900-Bin_15	Sulfurovum	1427644	182	9601	31.18384911	71.94244604	1.438848921	Sulfurovum_01	1444
Axial	El Guapo		FS896	Bin_8	FS896-Bin_8	Sulfurovum	2206642	249	12292	50.57381944	88.48920863	2.877697842	Sulfurovum_02	2470
Axial	El Guapo		FS896	Bin_9	FS896-Bin_9	Sulfurovum	1790541	339	5975	46.89530974	86.33093525	6.474820144	Sulfurovum_03	2001
Axial	El Guapo		FS896	Bin_4	FS896-Bin_4	Sulfurovum	1334830	245	5917	30.7603727	76.25899281	2.158273381	Sulfurovum_04	1431
Axial	Marker 33		FS908	Bin_1	FS908-Bin_1	Sulfurovum	875077	177	5067	35.67433072	70.50359712	0.71942446	Sulfurovum_05	980
Axial	Marker 33		FS917	Bin_6	FS917-Bin_6	Sulfurovum	1140286	237	4885	29.79571194	84.17266187	4.316546763	Sulfurovum_06	1269
Axial	Marker 113		FS906	Bin_8	FS906-Bin_8	Sulfurovum	2048994	405	5498	35.75718669	71.22302158	2.158273381	Sulfurovum_07	2152
Axial	Marker 113		FS906	Bin_6	FS906-Bin_6	Sulfurovum	2084665	168	17046	37.94331438	84.17266187	2.158273381	Sulfurovum_08	2169
Axial	Marker 113		FS906	Bin_12	FS906-Bin_12	Sulfurovum	1042616	119	10427	35.17469711	91.36690647	0.71942446	Sulfurovum_09	1133
Axial	Marker 33		FS904	Bin_4	FS904-Bin_4	Sulfurovum	1747597	168	14127	30.41608772	94.24460432	3.597122302	Sulfurovum_10	1777
Axial	Marker 113		FS903	Bin_5	FS903-Bin_5	Sulfurovum	894463	168	5666	35.10393056	83.45323741	2.158273381	Sulfurovum_11	1031
Axial	N3 Area		FS898	Bin_12	FS898-Bin_12	Sulfurovum	1550985	163	12047	36.20534003	96.4028777	0.71942446	Sulfurovum_12	1614
Axial	N3 Area		FS898	Bin_1	FS898-Bin_1	Sulfurovum	1591765	164	11987	34.05104816	96.4028777	0.71942446	Sulfurovum_13	1674
MCR	Von Damm	Shrimp Hole	FS844	Bin_43	FS844-Bin_43	Sulfurovum	1918793	239	10177	34.57601823	97.12230216	1.438848921	Sulfurovum_14	2135
MCR	Von Damm	Shrimp Hole	FS844	Bin_13	FS844-Bin_13	Sulfurovum	1767871	212	12779	38.54371238	92.8057554	5.755395683	Sulfurovum_15	1908
MCR	Piccard	"X-19 at BV 4, BVM"	FS854	Bin_99	FS854-Bin_99	Sulfurovum	1870573	152	18565	35.75896561	92.08633094	2.158273381	Sulfurovum_16	2030
MCR	Piccard	"X-19 at BV 4, BVM"	FS854	Bin_7	FS854-Bin_7	Sulfurovum	1625685	132	18714	39.35015843	90.64748201	5.755395683	Sulfurovum_17	1755
MCR	Piccard	"X-19 at BV 4, BVM"	FS854	Bin_9	FS854-Bin_9	Sulfurovum	1826106	241	9032	38.66015472	75.53956835	4.316546763	Sulfurovum_18	2015
MCR	Piccard	"Shrimp Gulley 2, BSM"	FS856	Bin_37	FS856-Bin_37	Sulfurovum	1934456	168	17281	36.25070269	94.24460432	4.316546763	Sulfurovum_19	2065
MCR	Von Damm	near Main Orifice	FS866	Bin_31	FS866-Bin_31	Sulfurovum	1835174	321	6559	34.36028648	74.82014388	4.316546763	Sulfurovum_20	2095
MCR	Von Damm	Old Man Tree	FS881	Bin_43	FS881-Bin_43	Sulfurovum	1943705	167	16326	38.89695984	90.64748201	2.877697842	Sulfurovum_21	2057
MCR	Von Damm	Old Man Tree	FS881	Bin_45	FS881-Bin_45	Sulfurovum	1736799	161	14653	35.74327772	79.85611511	1.438848921	Sulfurovum_22	1915
